HERRIA;1.VOLUMEN_ALTA_M3;1.VOLUMEN_BAJA_M3;1.RENDIMIENTO;2.VOLUMEN_ALTA_M3;2.VOLUMEN_BAJA_M3;2.RENDIMIENTO;3.VOLUMEN_ALTA_M3;3.VOLUMEN_BAJA_M3;3.RENDIMIENTO;4.VOLUMEN_ALTA_M3;4.VOLUMEN_BAJA_M3;4.RENDIMIENTO;VOLUMEN_ALTA_TOTAL;VOLUMEN_BAJA_TOTAL;REND. ANUAL;PÉRDIDA AGUA_M3 / MES;VOLUMEN PROMEDIO ALTA TRIMESTRE;VOLUMEN PROMEDIO BAJA TRIMESTRE
Abaltzisketa;8.120;4.448;0,55;7.488;4.493;0,60;8.888;4.976;0,56;7.185;4.309;0,60;31.681;18.226;0,58;1.121;7.920;4.557
Aia;34.903;29.513;0,85;35.708;33.246;0,93;45.062;35.993;0,80;40.866;29.408;0,72;156.539;128.160;0,82;2.365;39.135;32.040
Alegia;48.114;25.351;0,53;35.444;23.437;0,66;40.481;23.302;0,58;40.344;23.378;0,58;164.383;95.468;0,58;5.743;41.096;23.867
Altzo;6.418;4.152;0,65;6.098;3.992;0,65;7.301;4.856;0,67;7.795;4.396;0,56;27.612;17.396;0,63;851;6.903;4.349
Anoeta;33.609;21.262;0,63;31.236;22.969;0,74;29.741;21.512;0,72;33.713;21.715;0,64;128.299;87.459;0,68;3.403;32.075;21.865
Antzuola;31.563;25.703;0,81;28.919;24.836;0,86;30.007;25.221;0,84;29.637;24.010;0,81;120.126;99.770;0,83;1.696;30.032;24.943
Asteasu;33.916;20.311;0,60;36.620;23.034;0,63;40.730;25.305;0,62;35.566;21.096;0,59;146.832;89.746;0,61;4.757;36.708;22.437
Ataun;46.916;16.868;0,36;45.875;18.221;0,40;42.348;19.001;0,45;41.394;18.169;0,44;176.533;72.259;0,41;8.689;44.133;18.065
Azkoitia;175.138;133.078;0,76;173.685;140.627;0,81;184.724;146.447;0,79;172.721;139.414;0,81;706.268;559.567;0,79;12.225;176.567;139.892
Azpeitia;237.757;192.027;0,81;233.933;201.067;0,86;254.121;197.083;0,78;238.522;191.107;0,80;964.333;781.283;0,81;15.254;241.083;195.321
Baliarrain;2.614;2.563;0,98;2.496;2.713;1,09;2.769;2.822;1,02;2.230;2.656;1,19;10.109;10.755;1,06;-54;2.527;2.689
Beasain;239.952;210.272;0,88;230.968;208.587;0,90;235.895;197.708;0,84;233.634;206.179;0,88;940.449;822.746;0,87;9.809;235.112;205.686
Beizama;6.924;3.962;0,57;5.598;3.449;0,62;7.097;3.577;0,50;5.051;3.440;0,68;24.670;14.428;0,58;853;6.168;3.607
Belauntza;11.197;3.794;0,34;11.073;3.951;0,36;10.757;4.359;0,41;9.459;4.341;0,46;42.486;16.445;0,39;2.170;10.622;4.111
Berastegi;32.398;15.356;0,47;32.797;14.110;0,43;35.380;16.351;0,46;28.894;13.911;0,48;129.469;59.729;0,46;5.812;32.367;14.932
Berrobi;9.402;6.682;0,71;10.117;6.696;0,66;11.018;7.462;0,68;10.067;7.118;0,71;40.604;27.957;0,69;1.054;10.151;6.989
Deba;110.245;86.999;0,79;115.954;84.349;0,73;155.034;112.656;0,73;118.978;103.227;0,87;500.211;387.231;0,77;9.415;125.053;96.808
Eibar;458.286;349.174;0,76;445.375;331.931;0,75;431.966;330.266;0,76;448.707;320.071;0,71;1.784.334;1.331.442;0,75;37.741;446.084;332.860
Elduain;10.090;5.200;0,52;11.100;5.400;0,49;10.839;4.462;0,41;5.547;3.462;0,62;37.576;18.524;0,49;1.588;9.394;4.631
Elgeta;15.486;11.989;0,77;16.407;12.853;0,78;18.481;13.114;0,71;15.535;14.112;0,91;65.909;52.068;0,79;1.153;16.477;13.017
Elgoibar;195.644;153.139;0,78;190.259;156.995;0,83;193.007;143.211;0,74;193.961;143.975;0,74;772.871;597.321;0,77;14.629;193.218;149.330
Ezkio-Itsaso;19.968;17.714;0,89;17.735;18.463;1,04;21.322;17.411;0,82;19.661;16.535;0,84;78.686;70.123;0,89;714;19.672;17.531
Gabiria;4.973;4.522;0,91;4.873;4.782;0,98;7.788;5.573;0,72;6.053;4.902;0,81;23.687;19.778;0,83;326;5.922;4.945
Gaintza;1.923;1.666;0,87;1.724;1.674;0,97;2.550;2.398;0,94;2.108;2.180;1,03;8.305;7.918;0,95;32;2.076;1.979
Getaria;56.463;44.099;0,78;62.975;53.556;0,85;91.177;68.985;0,76;60.953;56.975;0,93;271.568;223.615;0,82;3.996;67.892;55.904
Ibarra;75.620;60.344;0,80;71.865;56.879;0,79;82.036;61.148;0,75;78.011;60.544;0,78;307.532;238.915;0,78;5.718;76.883;59.729
Idiazabal;73.190;54.118;0,74;58.110;39.074;0,67;64.336;41.717;0,65;61.729;38.864;0,63;257.365;173.773;0,68;6.966;64.341;43.443
Ikaztegieta;9.227;7.007;0,76;9.874;7.545;0,76;11.691;6.732;0,58;8.233;6.669;0,81;39.025;27.953;0,72;923;9.756;6.988
Irura;41.755;21.937;0,53;39.242;22.262;0,57;38.995;21.905;0,56;39.727;24.359;0,61;159.719;90.463;0,57;5.771;39.930;22.616
Legazpi;132.632;107.600;0,81;127.359;104.999;0,82;128.808;108.772;0,84;127.929;110.009;0,86;516.728;431.380;0,83;7.112;129.182;107.845
Mendaro;31.568;25.753;0,82;31.422;25.910;0,82;33.047;28.538;0,86;33.898;22.514;0,66;129.935;102.716;0,79;2.268;32.484;25.679
Mutiloa;5.406;4.031;0,75;5.112;4.188;0,82;6.759;4.818;0,71;4.969;3.534;0,71;22.246;16.572;0,74;473;5.562;4.143
Mutriku;100.242;66.939;0,67;106.843;72.022;0,67;128.505;86.611;0,67;115.009;73.578;0,64;450.599;299.149;0,66;12.621;112.650;74.787
Onati;270.981;206.363;0,76;253.788;205.301;0,81;264.999;208.194;0,79;257.304;213.395;0,83;1.047.072;833.252;0,80;17.818;261.768;208.313
Ordizia;175.491;140.059;0,80;168.725;138.864;0,82;174.910;135.855;0,78;180.032;144.097;0,80;699.158;558.875;0,80;11.690;174.790;139.719
Orio;98.221;88.652;0,90;103.396;93.088;0,90;119.743;120.965;1,01;106.834;83.962;0,79;428.194;386.666;0,90;3.461;107.049;96.667
Ormaiztegi;22.552;18.233;0,81;23.710;19.497;0,82;26.255;20.132;0,77;25.135;17.777;0,71;97.652;75.639;0,77;1.834;24.413;18.910
Segura;30.206;17.680;0,59;30.850;24.195;0,78;36.075;23.222;0,64;28.791;19.375;0,67;125.922;84.472;0,67;3.454;31.481;21.118
Soraluze;55.929;41.042;0,73;50.601;40.155;0,79;48.151;38.700;0,80;53.059;41.961;0,79;207.740;161.858;0,78;3.823;51.935;40.465
Tolosa;370.763;260.021;0,70;347.306;247.521;0,71;348.980;257.628;0,74;325.089;250.669;0,77;1.392.138;1.015.839;0,73;31.358;348.035;253.960
Villabona;99.119;72.517;0,73;94.856;76.874;0,81;97.942;75.154;0,77;97.167;77.782;0,80;389.084;302.326;0,78;7.230;97.271;75.581
Zegama;20.034;14.933;0,75;25.463;17.285;0,68;30.242;16.583;0,55;26.649;15.082;0,57;102.388;63.882;0,62;3.209;25.597;15.971
Zerain;6.664;5.365;0,81;6.500;5.262;0,81;7.777;5.387;0,69;6.270;4.974;0,79;27.211;20.988;0,77;519;6.803;5.247
Zizurkil;55.979;37.334;0,67;51.297;38.818;0,76;59.522;39.394;0,66;58.339;41.672;0,71;225.137;157.218;0,70;5.660;56.284;39.305
Zumaia;190.512;149.259;0,78;193.670;177.835;0,92;224.013;186.975;0,83;204.430;169.044;0,83;812.625;683.113;0,84;10.793;203.156;170.778
TOTAL;3.698.110;2.789.034;0,75;3.594.446;2.823.003;0,79;3.851.269;2.922.480;0,76;3.647.185;2.799.948;0,77;14.791.010;11.334.465;0,77;288.045;3.697.753;2.833.616